레시피명,전처리된 식재료
해물토마토김치찌개,홍합 새우 양파 팽이버섯 오징어 김치 토마토 당면 바지락 달걀 쑥갓 주꾸미 부추 미나리 느타리버섯
버섯 두유 소스 볶음,후추 두유 버섯 새싹 청양고추
백일송이버섯 볶음,파프리카
땅콩소스 버섯가지나물,간장 가지 표고버섯 참기름 마늘 땅콩
유자향의 곤약 냉채,후추 당근 사과 오이 파프리카 유자 드레싱
새우단배추된장국,다시마 배추 양파 새우 물 콩가루 된장 마늘 대파 두부 멸치
검은콩보리된장찌개,다시마 양파 표고버섯 바지락 보리 고추 대파 두부 청양고추 멸치
단호박배추된장국,배추 양파 물 고추 된장 대파
된장냉국,식초 다시마 양파 설탕 물 콩가루 오이 참기름 깻잎 된장 마늘 대파 청양고추
들깨된장육개장,다시마 배추 양파 돼지고기 보리새우 물 청주 된장 마늘 사태 숙주 대파 청양고추 고춧가루 느타리버섯
삼색묵냉국,당근 생강 고추 메밀묵 양배추 쇠고기 도토리묵 다시마 물 오이 파프리카 참깨 양파 달걀 대파 된장 마늘 쑥갓 멸치
샤브된장국,쪽파 팽이버섯 닭 깻잎 고추 마늘 대파 청양고추 느타리버섯
완자된장국,쪽파 돼지고기 양파 브로콜리 콩가루 표고버섯 고추 감자 된장 마늘 숙주 대파 두부 부추 당면
산나물된장찌개,표고버섯 순두부 취나물 다시마 고구마 물 콩 콩가루 고춧가루 양파 대파 청양고추 나물 마늘 멸치
토마토요구르트된장국,표고버섯 된장 요구르트 다시마 팽이버섯 양송이버섯 물 콩가루 고춧가루 양파 토마토 대파 청양고추 마늘 멸치
굴림만두된장국,간장 돼지고기 양파 팽이버섯 물 닭 밀가루 고추 마늘 대파 두부 부추
해물순두부된장찌개,순두부 미역 표고버섯 콩가루 바지락 된장 대파 주꾸미 멸치
곤약함박스테이크,당근 방울토마토 빵가루 쇠고기 가지 물 파프리카 두부 간장 양파 어린잎채소 달걀 대파 셀러리 브로콜리 스테이크 마늘
청국장 두부 검은깨 냉스프,청국장 두부 플레인요거트 스프
호박 고구마 스프,우유 고구마 설탕 물 스프
시금치 리조또,소금 시금치 두유 밥 버터
북어비빔밥,우렁 고사리 북어 당근 들기름 표고버섯 밥 달걀
무 현미밥,찹쌀 다시마 표고버섯 참기름 밴댕이 현미 간장
